AT;V;AP;RH;P
29.56;71.14;1011.42;53.18;432.09
12.74;41.38;1021.92;56.67;475.63
18.48;52.05;1012.41;68.2;458.62
33.5;70.8;1008.99;57.24;433.19
16.23;43.72;1009.96;83.01;457.9
27.26;73.18;1012.58;74.83;429.92
32.11;78.05;1010.36;58.78;431.31
25.11;58.79;1015.99;60.55;442.34
7.24;41.17;1020.35;80.56;486.76
22.42;60.08;1017.71;67.46;452.31
23.74;62.96;1019.65;63.39;449.48
12.19;40.75;1015.13;88.98;475.36
24.13;48.98;1014.74;40.13;460.38
28.84;60.23;1009.7;59;437.82
24.47;58.05;1011.27;71.7;446.93
15.47;44.9;1021.59;81.74;465.61
19.66;51.43;1010.17;84.19;459.12
21.41;50.32;1008.61;84.47;443.63
27.78;72.43;1006.72;74.53;429.62
8.68;41.82;1032.83;73.62;478.61
29.79;62.66;1008.5;48.51;440.27
19.13;42.18;1001.45;98.77;456.04
21.92;58.79;1010.09;89.7;446.71
12.91;41.66;1013.37;71.52;469.71
26.78;66.54;1010.14;49.01;440
14.1;42.18;1015.05;78.25;463.3
23.79;58.49;1011;75.39;445.87
24.17;59.44;1012.66;78.53;447.13
25.65;43.77;1011.65;46.18;444.01
12.36;45.09;1013.05;88.4;467.2
27.58;71.97;1008.51;87.99;430.53
13.45;41.49;1020.19;88.72;467.3
24.95;64.33;1011.34;81.05;440.97
11.03;44.78;1013.16;83.85;470.17
13.48;41.92;1030.2;65.96;463.9
10.15;41.46;1019.56;81.79;479.32
15.1;41.35;1003.84;97.89;466.14
16.12;45.87;1008.15;86.12;457.41
28.18;64.84;1009.22;56.04;443.65
25.23;61.86;1013;76.18;441.48
25.34;69.48;1008.4;74.79;433.81
33.34;69.88;1007.65;42.72;437.84
11.78;39.96;1011.37;82.95;472.79
25.37;44.89;1009.27;63.06;442.38
30.21;79.74;1006.82;54.03;430.83
7.64;42.28;1008.46;84.29;484.78
23.25;63.86;1017.82;59.64;445.12
11.62;43.48;1016.66;76.32;468.37
10.08;37.92;1010.47;66.37;474.63
13.89;45.08;1024.64;82.29;467.74
5.52;42.85;1012.77;93.82;478.98
21.28;44.05;1005.69;83.2;444.56
27.09;49.3;1003.93;61;437.44
28.47;69.23;1013.18;40.73;434.12
26.27;59.44;1012.23;58.77;443.67
6.97;41.26;1010.6;96.88;484.71
17.67;50.88;1015.64;90.55;456.16
8.52;41.55;1002.09;86.81;483.63
18.3;37.2;1012.23;68.09;470.42
16.48;41.35;1005.61;89.07;465.64
30.98;67.45;1015.18;45.4;433.59
7.68;38.06;1020.92;83.87;483.8
27.99;69.89;1013.94;51.25;435.79
8.26;39.42;1025.89;70.53;474.72
