date;hour;temp;load
2004-01-01;1;37;12230
2004-01-01;2;37;11534
2004-01-01;3;39;11038
2004-01-01;4;38;10777
2004-01-01;5;37;10764
2004-01-01;6;36;11032
2004-01-01;7;35;11508
2004-01-01;8;35;11806
2004-01-01;9;35;12457
2004-01-01;10;37;13214
2004-01-01;11;38;13783
2004-01-01;12;39;14156
2004-01-01;13;40;14182
2004-01-01;14;40;13988
2004-01-01;15;40;13727
2004-01-01;16;40;13856
2004-01-01;17;38;15215
2004-01-01;18;36;16593
2004-01-01;19;35;16483
2004-01-01;20;35;16135
2004-01-01;21;34;15681
2004-01-01;22;33;14872
2004-01-01;23;32;13769
2004-01-01;24;31;12640
2004-01-02;1;30;11728
2004-01-02;2;29;11275
2004-01-02;3;28;11083
2004-01-02;4;28;11071
2004-01-02;5;28;11304
2004-01-02;6;29;12053
2004-01-02;7;30;13372
2004-01-02;8;30;14656
2004-01-02;9;30;15658
2004-01-02;10;30;16472
2004-01-02;11;31;16889
2004-01-02;12;31;17015
2004-01-02;13;32;16869
2004-01-02;14;33;16595
2004-01-02;15;33;16387
2004-01-02;16;33;16414
2004-01-02;17;33;17327
2004-01-02;18;33;18164
2004-01-02;19;34;17766
2004-01-02;20;33;17144
2004-01-02;21;33;16461
2004-01-02;22;32;15562
2004-01-02;23;32;14357
2004-01-02;24;32;13086
2004-01-03;1;33;12017
2004-01-03;2;33;11362
2004-01-03;3;33;11030
2004-01-03;4;33;10886
2004-01-03;5;33;10929
2004-01-03;6;33;11279
2004-01-03;7;33;11965
2004-01-03;8;33;12862
2004-01-03;9;33;13957
2004-01-03;10;34;14980
2004-01-03;11;35;15575
2004-01-03;12;35;15730
2004-01-03;13;36;15580
2004-01-03;14;38;15275
2004-01-03;15;39;14963
2004-01-03;16;40;14902
2004-01-03;17;40;15892
2004-01-03;18;40;16778
2004-01-03;19;41;16532
2004-01-03;20;41;15977
2004-01-03;21;40;15454
2004-01-03;22;40;14660
2004-01-03;23;41;13588
2004-01-03;24;41;12416
2004-01-04;1;42;11354
2004-01-04;2;42;10710
2004-01-04;3;42;10350
2004-01-04;4;43;10175
2004-01-04;5;43;10148
2004-01-04;6;43;10365
2004-01-04;7;43;10885
2004-01-04;8;43;11406
2004-01-04;9;43;12297
2004-01-04;10;44;13204
2004-01-04;11;46;13910
2004-01-04;12;46;14310
2004-01-04;13;46;14559
2004-01-04;14;45;14582
2004-01-04;15;43;14629
2004-01-04;16;41;14856
2004-01-04;17;40;16003
2004-01-04;18;39;17048
2004-01-04;19;39;16896
2004-01-04;20;38;16427
2004-01-04;21;37;15797
2004-01-04;22;37;14734
2004-01-04;23;36;13403
2004-01-04;24;35;12263
2004-01-05;1;34;11444
2004-01-05;2;33;11045
2004-01-05;3;32;10895
2004-01-05;4;32;10908
2004-01-05;5;31;11310
2004-01-05;6;31;12582
2004-01-05;7;31;14895
2004-01-05;8;31;16562
2004-01-05;9;31;16988
2004-01-05;10;31;17324
2004-01-05;11;31;17618
2004-01-05;12;32;17778
2004-01-05;13;31;17734
2004-01-05;14;31;17732
2004-01-05;15;32;17607
2004-01-05;16;32;17800
2004-01-05;17;32;18840
2004-01-05;18;32;19579
2004-01-05;19;32;19319
2004-01-05;20;31;18725
2004-01-05;21;31;17865
2004-01-05;22;31;16581
2004-01-05;23;31;14903
2004-01-05;24;31;13429
2004-01-06;1;31;12496
2004-01-06;2;30;12000
2004-01-06;3;30;11781
2004-01-06;4;29;11788
2004-01-06;5;29;12145
2004-01-06;6;28;13354
2004-01-06;7;28;15630
2004-01-06;8;27;16950
2004-01-06;9;27;17031
2004-01-06;10;28;17043
2004-01-06;11;29;17261
2004-01-06;12;30;17223
2004-01-06;13;31;16957
2004-01-06;14;32;16846
2004-01-06;15;33;16675
2004-01-06;16;32;16888
2004-01-06;17;31;18068
2004-01-06;18;30;19548
2004-01-06;19;28;19527
2004-01-06;20;26;19180
2004-01-06;21;24;18572
2004-01-06;22;22;17371
2004-01-06;23;21;15754
